Business Name,Health Score,Health Index,,,,,
Saigon Bistro,0.288785714,2.5,,,,,
LaMarca's Pizza,0.249233333,2.5,,,,,
Goods & Provisions,0.277208684,2.5,,,,,
Sur La Table,0.310475,2.5,,,,,
Essen,0.214271154,2.5,,,,,
Pho Little Saigon,0.229603309,2.5,,,,,
Hot Dog On A Stick,0.3809,3,,,,,
Natalia's Gourmet Bakery,0.312505263,2.5,,,,,
Caju,0.174093939,2.5,,,,,
Peppery Cat,0.22795,2.5,,,,,
Roberto's Taco Shop,0.205169149,2.5,,,,,
Relics on 5th,0.6249,3.5,,,,,
The Counter,0.282608571,2.5,,,,,
Big Eye Sushi Bar,0.30743244,2.5,,,,,
Pantages Hotel Toronto Centre,0.5136875,3,,,,,
Fallout Games,0.3182,2.5,,,,,
The Pursuit of Frosting,0.287992857,2.5,,,,,
The Cosmopolitan of Las Vegas,0.352937037,2.5,,,,,
Liberty Shawarma,0.225056667,2.5,,,,,
College Hunks Hauling Junk and Moving,-0.3585,1.5,,,,,
Tealicious Tea House,0.318087379,2.5,,,,,
T1 Tapas,0.190130303,2.5,,,,,
Tule Springs Fossil Beds National Monument,0.20995,2.5,,,,,
Pete's Fish & Chips,0.022075,2,,,,,
Escape Lounge,0.215145161,2.5,,,,,
Asian Legend,0.229918033,2.5,,,,,
La Sicilia,-0.677457143,1.5,,,,,
Peoples Food,0.354775,2.5,,,,,
New Sun Star Super Buffet,0.4939,3,,,,,
UUBU 6,0.157994118,2.5,,,,,
Cream,0.174871429,2.5,,,,,
Five Guys,0.515592308,3,,,,,
The 5-Spot,0.324756061,2.5,,,,,
minibar,-0.5994,1.5,,,,,
"Grain, Curd & Bean",0.47172,3,,,,,
Aroma Bakery,0.3409,2.5,,,,,
Rosie's Italian Cafe,0.372289231,3,,,,,
Lebowskis,0.228132143,2.5,,,,,
Yogurtland,0.356745833,2.5,,,,,
Espionage,0.109666667,2,,,,,
DiBella's Subs,0.25072844,2.5,,,,,
Frontier Airlines,0,2,,,,,
Maryanne's Breakfast & Lunch,0.128488889,2.5,,,,,
Hoot & Howl,0.177661111,2.5,,,,,
Matt's Big Breakfast,0.294675975,2.5,,,,,
Sprouts Farmers Market,0.369174468,3,,,,,
Restaurant Globe,0.336160317,2.5,,,,,
Babe's Good N Plenty,0.264752381,2.5,,,,,
Ville souterraine RESO /Underground City,0.4461,3,,,,,
Hartigan's Irish Pub,0.296674194,2.5,,,,,
Restaurant Chez Lien Plus,0.287172414,2.5,,,,,
Gradys Sports Grill,0.157755556,2.5,,,,,
Menchie's,0.045455556,2,,,,,
Cicis,0.143241558,2.5,,,,,
Primanti Bros,0.224545178,2.5,,,,,
Annona Resturant,0.289250131,2.5,,,,,
Wasabi Japanese Restaurant & Sushi Bar,0.258803756,2.5,,,,,
Restaurant Houston Steaks et Cotes Levees,0.028026042,2,,,,,
Power 98.3 & 101.9,0.807,4,,,,,
Carl's Jr,0.13574,2.5,,,,,
Chef Chen Chinese Resturant,0.2065625,2.5,,,,,
Jungle Land,0.7371,4,,,,,
Oriental Foot Spa,0,2,,,,,
Mood Swings Salon,0.5978,3.5,,,,,
Veloce Restaurant,0.455569231,3,,,,,
The Skylark,0.288213636,2.5,,,,,
Pasta Express,0.262529412,2.5,,,,,
Hamburger Heaven,0.332835294,2.5,,,,,
Las Vegas Distillery,0.378696591,3,,,,,
Haymarket Station Bar,0.7269,4,,,,,
Le Den,0.278040909,2.5,,,,,
Hot Sauce Williams Barbecue Restaurant,0.196201965,2.5,,,,,
BQM King West,0.307785714,2.5,,,,,
Fuddruckers,0.322826263,2.5,,,,,
The Perfect Scoop,0.123238889,2.5,,,,,
Booster Juice,0.2123,2.5,,,,,
Briskit Gourmet Slow Cooked Sandwiches,0.231149123,2.5,,,,,
Betty's,0.287060645,2.5,,,,,
George IV Bar,0.3272,2.5,,,,,
Brazil Bakery and Pastry,0.42812,3,,,,,
Ali's King Falafel,0.1029,2,,,,,
Sexy Lexy Kitchen,0.751833333,4,,,,,
Tsunami,0.157604286,2.5,,,,,
The Estancia Club,0.6787,3.5,,,,,
Traffic Jam,0.253072,2.5,,,,,
Bazara Asian Cuisine,0.326034817,2.5,,,,,
Bama's Southern Kitchen,0.302369388,2.5,,,,,
D' Lucky,0,2,,,,,
Tasty Station,0.312797368,2.5,,,,,
Alton Restaurant,0.19262,2.5,,,,,
ABD Signs & Printing,-0.0829,2,,,,,
La Fuente,0.617533333,3.5,,,,,
EsmokerCanada,0,2,,,,,
Chez Gautier Restaurant,0.216519355,2.5,,,,,
Double Blessing's Goat's Milk Lotions & Soaps,0.431344444,3,,,,,
Popped,0.303671846,2.5,,,,,
Peter's Cuisine -Grill- Banquets,0.53402,3,,,,,
Little Italy Pizza,0.295643784,2.5,,,,,
Just Blaze,0.73815,4,,,,,
LCBO - Chinatown,-0.042233333,2,,,,,
Mora Italian,0.286388379,2.5,,,,,
Q Mall Indoor Swamp Meet,0.072566667,2,,,,,
"First Watch - Breakfast, Brunch & Lunch",0.292012987,2.5,,,,,
Fonduementale,0.304713008,2.5,,,,,
Annapoorna,0.162508333,2.5,,,,,
Beckham's B&M Bar-B-Que,0.327758824,2.5,,,,,
Lowdown Cafe,0.312989286,2.5,,,,,
Yame Sushi,0.230485714,2.5,,,,,
Ray's Asian Cuisine and House of Ramen,0.25965641,2.5,,,,,
Indigo Joe's,0.537071429,3,,,,,
Greek Express,0.309153226,2.5,,,,,
Sweet Republic,0.364249837,2.5,,,,,
24 Carrots Juice Bar & Cafe,0.291870496,2.5,,,,,
Shack In Back,0.4404,3,,,,,
Douce France,0.34774087,2.5,,,,,
Gourmet Quick Bite,0.387606364,3,,,,,
QuikTrip,0.37274,3,,,,,
Las Vegas Fruits & Nuts,0.222028571,2.5,,,,,
The Olde Mecklenburg Brewery,0.248404469,2.5,,,,,
Il Primo Pizza & Wings,0.208517241,2.5,,,,,
Old Time Meat & Deli Shoppe,0.333412,2.5,,,,,
Sbarro's Italian Eatery,-0.001764286,2,,,,,
Sanchioli Bakery,0.3212875,2.5,,,,,
Milio's Sandwiches,0.0753,2,,,,,
I-90 Nissan,-0.4019,1.5,,,,,
Copper Kettle,0.238970213,2.5,,,,,
Tome2,0.7783,4,,,,,
Go! Bistro,0.285090476,2.5,,,,,
Old Man Pizza,0.343290625,2.5,,,,,
Red Square,0.412675,3,,,,,
Zuni Grill,0.183125,2.5,,,,,
Bocca On Baldwin,0.332142045,2.5,,,,,
Baker Candies Inc,0.421014286,3,,,,,
Mr Rice Takeaway,0.29636,2.5,,,,,
China One,0.196563725,2.5,,,,,
Fingers Piano Bar,0.099233333,2,,,,,
Calli's,0.323805263,2.5,,,,,
Nobu Tei,0.269917339,2.5,,,,,
Little Shmiddy's Hot Meat House,0.400254167,3,,,,,
Gyro Express,0.479941667,3,,,,,
Falbo Bros. Pizzeria,0.208775,2.5,,,,,
Toby Keiths I Love This Bar & Grill,0.074273333,2,,,,,
Sidewalk Cafe Painesville,0.215085714,2.5,,,,,
Itri,0.42429375,3,,,,,
AZTECA Bakeries & Restaurant,0.288004425,2.5,,,,,
Wisconsin Craft Market,0.28362,2.5,,,,,
Fruit Jungle,0.295740291,2.5,,,,,
Capitaine Pouf,0.237678947,2.5,,,,,
Caddyshack Inn,0.288267857,2.5,,,,,
Fox & Hound of Charlotte,0.083626667,2,,,,,
Tea-rrific,0.23371,2.5,,,,,
Walgreens,-0.016236364,2,,,,,
Fleming's Prime Steakhouse & Wine Bar,0.310507782,2.5,,,,,
Dmart,0.24695,2.5,,,,,
Babos Donerpoint,0.356261111,2.5,,,,,
TPC Grille,0.392153333,3,,,,,
TAP Sports Bar,0.273729903,2.5,,,,,
O'Brien's Grille & Pub,0.524733333,3,,,,,
Abyssinia,0.375872727,3,,,,,
Cafe Plenty,0.251996203,2.5,,,,,
Restaurant Sahib,0.231371667,2.5,,,,,
Liberty Station,0.25029902,2.5,,,,,
Rain,0.077038462,2,,,,,
Harvard Soul Bistro,0.151423077,2.5,,,,,
The Cooper's Tavern,0.28139179,2.5,,,,,
Granite City Food & Brewery,0.242753978,2.5,,,,,
Joey's of Chicago,0.218316667,2.5,,,,,
Champion Carpet Cleaning,0.7245,4,,,,,
Walk In Wok Out,0.25412,2.5,,,,,
Produce Place Market,0.13712,2.5,,,,,
Lion and Dragon Pub,0.167006667,2.5,,,,,
Old Chain Pier,0.301623214,2.5,,,,,
Margarona Mexican Bar and Grill,0.147738462,2.5,,,,,
Port City Java,0.42703,3,,,,,
Famous Dave's,0.241234098,2.5,,,,,
Pittsburgh Public Theater,0.78325,4,,,,,
Maurya East Indian Roti - Etobicoke,0.299546753,2.5,,,,,
Hamdi Restaurant,0.299438235,2.5,,,,,
Jimmy's American Tavern,0.102513793,2,,,,,
Thai Heng Restaurant,0.454095238,3,,,,,
Wayfarer Bar,0.088366667,2,,,,,
Angelo's Pizza  Kitchen,0.310016667,2.5,,,,,
